a1 a2 a3 a4 a5 a6 a7 RMSE it
3.036e-01 6.516e-01 4.965e-01 2.990e-01 1.000e-01 4.101e-02 1.000e-01 1.000e+10 0
6.080e-01 3.027e-01 7.821e-01 8.448e-02 6.079e-03 4.749e-02 1.000e-03 1.000e+10 0
9.889e-01 4.064e-01 5.028e-01 7.074e-01 1.898e-02 1.000e-03 9.950e-03 1.000e+10 0
8.468e-01 8.348e-01 1.000e+00 2.996e-01 4.607e-02 3.700e-02 8.916e-02 1.000e+10 0
8.316e-01 9.224e-01 6.085e-01 4.650e-01 8.484e-02 3.176e-02 3.867e-02 1.000e+10 0
1.052e-01 8.796e-01 6.329e-01 4.797e-01 1.000e-01 5.081e-02 7.338e-02 1.000e+10 0
5.888e-01 8.396e-01 6.971e-01 6.039e-01 4.835e-02 6.431e-02 8.961e-02 1.000e+10 0
7.520e-01 1.000e-03 8.610e-01 8.863e-01 4.313e-02 7.297e-02 3.247e-02 1.000e+10 0
5.587e-01 2.158e-01 2.123e-01 2.167e-01 5.644e-02 1.000e-01 5.194e-02 1.000e+10 0
4.260e-01 1.000e-03 6.143e-01 1.000e+00 1.000e-03 5.425e-02 6.490e-02 1.000e+10 0
6.481e-01 2.109e-01 1.000e-03 9.433e-01 7.286e-02 1.000e-03 4.116e-02 1.000e+10 0
2.259e-01 4.340e-01 1.000e-03 3.155e-01 6.657e-02 6.720e-02 8.320e-02 1.000e+10 0
3.802e-01 9.886e-01 1.000e+00 4.298e-01 7.938e-02 6.519e-02 9.029e-02 1.000e+10 0
2.128e-01 2.903e-02 3.755e-01 1.000e+00 8.801e-02 7.053e-02 1.715e-02 1.000e+10 0
5.885e-02 5.849e-01 4.086e-01 5.817e-01 1.199e-02 8.669e-02 3.210e-02 1.000e+10 0
5.168e-01 2.154e-01 5.341e-02 2.908e-01 4.129e-02 1.217e-02 1.000e-01 1.000e+10 0
1.011e-01 8.889e-01 7.581e-01 1.809e-01 7.909e-02 3.950e-02 6.445e-02 1.000e+10 0
9.778e-02 5.505e-01 4.503e-02 1.972e-01 5.538e-02 3.325e-02 9.901e-02 1.000e+10 0
6.043e-01 7.631e-01 9.770e-01 1.330e-01 8.200e-02 2.028e-02 1.195e-03 1.000e+10 0
8.172e-01 1.623e-01 2.459e-01 7.278e-01 6.956e-02 1.000e-03 1.000e-03 1.000e+10 0
1.000e+00 3.841e-01 1.000e+00 2.443e-01 3.523e-02 8.515e-02 1.000e-03 1.000e+10 0
9.480e-01 7.784e-02 1.000e-03 5.385e-01 5.108e-02 3.758e-02 1.000e-01 1.000e+10 0
5.656e-01 2.151e-01 7.297e-01 1.000e-03 3.875e-02 1.000e-01 8.700e-02 1.000e+10 0
4.697e-01 1.000e-03 1.000e-03 7.230e-01 2.660e-02 7.606e-02 1.096e-02 1.000e+10 0
5.041e-01 3.270e-02 2.630e-01 1.000e-03 4.954e-02 4.114e-02 4.680e-02 1.000e+10 0
1.000e+00 7.034e-02 8.792e-01 9.361e-01 1.000e-03 8.033e-02 7.701e-02 1.000e+10 0
8.799e-01 3.715e-01 2.124e-01 5.032e-01 1.414e-02 6.546e-02 6.884e-02 1.000e+10 0
4.245e-02 3.996e-01 7.381e-01 7.595e-01 6.677e-02 3.259e-02 1.107e-02 1.000e+10 0
4.373e-01 6.935e-01 9.098e-01 4.538e-01 4.110e-02 9.108e-03 6.359e-02 1.000e+10 0
6.666e-01 1.611e-01 4.773e-01 6.842e-02 6.923e-02 1.000e-03 8.996e-02 1.000e+10 0
1.000e-03 4.834e-01 4.410e-01 1.384e-02 8.550e-02 6.296e-03 9.466e-02 1.000e+10 0
9.297e-01 3.510e-01 5.162e-01 1.000e+00 6.444e-02 1.000e-03 3.222e-02 1.000e+10 0
3.403e-01 1.496e-01 4.063e-01 9.264e-01 9.133e-03 3.396e-02 9.723e-02 1.000e+10 0
7.709e-01 3.585e-01 5.159e-01 7.001e-01 1.894e-02 7.924e-02 4.040e-02 1.000e+10 0
1.000e+00 5.127e-01 8.846e-02 7.041e-01 3.100e-03 1.000e-03 8.624e-03 1.000e+10 0
6.638e-01 5.675e-01 1.000e-03 6.533e-01 6.114e-02 6.930e-02 9.227e-02 1.000e+10 0
9.441e-01 2.668e-01 1.000e+00 7.170e-01 6.106e-02 7.348e-03 2.392e-02 1.000e+10 0
3.362e-02 5.023e-01 7.973e-01 9.312e-02 8.387e-02 1.939e-02 1.000e-01 1.000e+10 0
5.709e-01 3.264e-01 9.740e-01 1.000e+00 6.077e-02 1.000e-03 8.174e-02 1.000e+10 0
8.113e-01 2.258e-01 5.698e-01 6.792e-01 4.382e-02 2.485e-02 2.360e-02 1.000e+10 0
6.450e-01 5.938e-01 4.842e-01 3.570e-01 3.561e-02 5.742e-02 3.723e-03 1.000e+10 0
8.056e-01 9.576e-02 6.642e-01 4.156e-01 4.916e-02 7.787e-02 1.045e-02 1.000e+10 0
1.000e+00 2.971e-01 1.000e+00 4.421e-01 6.286e-02 3.754e-02 1.000e-03 1.000e+10 0
1.502e-01 7.010e-01 7.488e-01 1.000e-03 7.870e-02 1.000e-01 6.337e-02 1.000e+10 0
8.161e-01 4.157e-01 5.564e-01 8.835e-01 5.000e-02 2.807e-02 8.664e-02 1.000e+10 0
8.405e-01 5.178e-01 5.358e-01 1.000e+00 9.496e-02 1.000e-03 9.336e-02 1.000e+10 0
1.581e-03 8.231e-01 9.665e-01 4.745e-01 1.710e-02 5.903e-02 6.070e-02 1.000e+10 0
1.000e+00 5.968e-01 9.310e-01 1.000e+00 1.000e-03 7.515e-02 1.034e-02 1.000e+10 0
2.539e-01 3.025e-01 7.007e-01 4.724e-02 2.922e-02 4.471e-02 1.000e-03 1.000e+10 0
5.396e-01 8.846e-01 5.411e-01 1.000e+00 8.568e-02 6.026e-02 3.180e-02 1.000e+10 0
8.660e-01 6.971e-01 4.963e-01 1.000e-03 7.592e-02 6.112e-02 3.909e-02 1.000e+10 0
2.473e-01 7.021e-01 2.393e-01 1.245e-01 3.978e-02 2.004e-02 2.095e-02 1.000e+10 0
2.829e-01 1.000e+00 9.487e-01 6.485e-01 2.839e-02 1.000e-03 9.439e-02 1.000e+10 0
8.980e-01 1.000e-03 7.530e-01 1.000e-03 5.979e-02 1.579e-02 6.952e-02 1.000e+10 0
6.080e-01 7.129e-01 4.140e-01 1.000e+00 1.921e-02 1.000e-03 8.204e-02 1.000e+10 0
7.397e-01 8.208e-01 4.436e-01 7.043e-01 1.000e-01 6.377e-02 8.315e-02 1.000e+10 0
9.851e-01 3.951e-01 9.589e-01 3.187e-01 6.609e-02 2.715e-02 2.346e-02 1.000e+10 0
9.011e-01 1.000e+00 1.212e-01 7.805e-01 7.162e-02 1.000e-01 8.139e-02 1.000e+10 0
1.000e+00 4.853e-01 5.520e-02 3.186e-01 6.564e-02 9.851e-02 5.170e-02 1.000e+10 0
8.657e-01 4.347e-01 5.347e-01 4.972e-01 4.725e-02 1.683e-02 9.038e-02 1.000e+10 0
5.205e-01 8.680e-01 3.564e-01 2.842e-01 6.173e-02 1.000e-03 1.000e-01 1.000e+10 0
3.726e-01 1.000e-03 1.259e-01 5.215e-01 1.000e-03 3.102e-02 4.410e-02 1.000e+10 0
5.589e-01 1.568e-01 8.043e-01 2.930e-01 2.524e-02 4.839e-02 6.636e-02 1.000e+10 0
5.135e-01 6.075e-01 7.379e-01 1.000e-03 7.375e-02 1.000e-03 1.000e-01 1.000e+10 0
8.096e-01 3.055e-01 6.631e-01 7.792e-01 2.949e-02 5.245e-03 2.693e-02 1.000e+10 0
8.011e-01 2.950e-01 8.583e-01 5.554e-01 1.000e-03 6.408e-02 3.994e-02 1.000e+10 0
1.502e-01 6.165e-02 7.569e-01 1.000e-03 5.815e-02 3.095e-02 3.155e-02 1.000e+10 0
5.531e-01 1.383e-01 1.000e+00 9.202e-02 8.197e-03 1.000e-01 1.000e-01 1.000e+10 0
4.220e-01 9.216e-01 7.603e-01 3.742e-01 2.491e-02 6.665e-02 6.191e-02 1.000e+10 0
4.758e-01 1.000e-03 9.183e-01 4.234e-02 2.460e-02 6.897e-02 6.401e-02 1.000e+10 0
1.208e-01 3.006e-01 5.817e-01 1.000e-03 3.421e-02 1.000e-03 2.726e-02 1.000e+10 0
4.812e-01 3.526e-01 6.778e-01 1.705e-01 7.363e-02 4.750e-02 1.000e-03 1.000e+10 0
4.178e-01 2.147e-01 4.876e-01 1.000e+00 1.000e-01 3.045e-02 1.000e-01 1.000e+10 0
8.767e-01 6.053e-01 7.931e-01 7.096e-02 7.993e-02 1.893e-02 7.215e-02 1.000e+10 0
8.628e-01 2.450e-01 1.000e-03 1.000e+00 1.547e-02 3.012e-02 3.966e-02 1.000e+10 0
3.263e-01 6.118e-01 1.000e-03 6.946e-01 8.061e-02 1.000e-01 2.575e-03 1.000e+10 0
1.000e+00 1.000e-03 4.196e-01 5.954e-01 7.659e-02 3.114e-02 4.770e-02 1.000e+10 0
1.000e+00 8.329e-01 5.269e-02 3.867e-01 2.503e-02 1.000e-03 1.287e-02 1.000e+10 0
4.877e-01 3.400e-01 5.219e-01 4.555e-02 8.132e-02 1.000e-03 5.011e-02 1.000e+10 0
3.479e-01 1.000e+00 2.992e-01 8.522e-01 7.600e-02 6.921e-02 2.161e-02 1.000e+10 0
1.000e+00 5.271e-01 4.352e-01 6.091e-01 8.815e-02 6.295e-02 1.000e-03 1.000e+10 0
1.000e-03 9.573e-01 1.000e+00 7.963e-01 1.000e-01 6.733e-02 8.872e-02 1.000e+10 0
1.000e+00 2.793e-01 3.549e-01 6.650e-01 1.000e-03 5.860e-02 3.256e-02 1.000e+10 0
1.000e-03 8.362e-01 6.441e-01 2.609e-01 8.074e-02 3.443e-02 1.000e-01 1.000e+10 0
1.017e-01 6.243e-01 5.363e-01 5.461e-01 1.430e-02 1.000e-03 2.514e-02 1.000e+10 0
8.878e-01 3.329e-01 6.288e-01 1.000e+00 9.374e-02 9.219e-02 4.954e-02 1.000e+10 0
1.000e-03 5.005e-01 8.144e-01 7.800e-01 9.339e-02 5.959e-02 2.920e-02 1.000e+10 0
1.389e-01 1.000e-03 3.465e-01 8.741e-01 2.103e-02 8.526e-02 5.558e-03 1.000e+10 0
9.078e-01 1.000e-03 9.521e-01 9.424e-01 1.911e-02 7.891e-02 1.000e-03 1.000e+10 0
1.000e-03 8.560e-01 7.943e-01 8.624e-01 1.000e-01 5.647e-03 1.645e-02 1.000e+10 0
5.438e-01 1.000e-03 2.038e-01 1.000e+00 3.787e-02 7.162e-02 5.168e-02 1.000e+10 0
1.000e+00 7.500e-01 8.549e-01 7.890e-01 1.000e-01 8.142e-02 4.746e-02 1.000e+10 0
5.304e-01 3.665e-01 3.926e-01 1.921e-01 1.787e-02 2.541e-02 2.332e-02 1.000e+10 0
8.000e-01 5.553e-01 3.430e-01 3.487e-01 1.359e-02 6.014e-02 1.000e-03 1.000e+10 0
9.028e-01 8.377e-01 6.021e-01 8.086e-01 3.834e-02 7.948e-02 1.598e-02 1.000e+10 0
9.055e-01 3.450e-01 1.000e+00 1.879e-01 3.205e-02 3.057e-02 1.000e-03 1.000e+10 0
5.971e-01 1.000e+00 1.000e-03 6.376e-01 2.468e-02 9.263e-02 1.000e-03 1.000e+10 0
3.979e-01 6.664e-01 2.692e-01 4.214e-01 4.412e-02 1.304e-02 7.912e-02 1.000e+10 0
3.658e-01 1.000e-03 2.970e-01 7.168e-01 3.166e-02 2.900e-02 2.382e-02 1.000e+10 0
7.053e-01 1.000e+00 3.351e-01 1.000e+00 1.486e-02 5.584e-03 1.780e-02 1.000e+10 0
4.261e-01 1.095e-01 1.000e-03 9.042e-01 1.000e-01 1.039e-02 1.000e-01 1.000e+10 0
4.706e-01 3.676e-01 5.701e-01 6.337e-01 6.174e-02 7.047e-02 2.720e-02 1.000e+10 0
8.578e-01 3.314e-01 5.161e-01 9.876e-01 6.696e-02 7.374e-02 6.197e-02 1.000e+10 0
9.099e-01 6.007e-01 4.255e-01 1.000e+00 7.405e-02 9.657e-02 1.336e-02 1.000e+10 0
5.787e-01 3.121e-01 1.000e-03 1.000e-03 8.098e-02 1.000e-03 7.002e-02 1.000e+10 0
4.499e-01 5.722e-02 7.370e-01 6.314e-01 9.308e-02 2.368e-02 1.030e-02 1.000e+10 0
8.604e-02 4.184e-01 7.296e-02 2.338e-01 4.912e-02 7.601e-03 1.000e-03 1.000e+10 0
1.000e-03 3.796e-01 9.757e-01 9.237e-01 8.792e-02 6.066e-02 5.059e-02 1.000e+10 0
5.419e-01 7.011e-01 7.270e-01 5.227e-01 6.682e-02 1.174e-02 7.501e-02 1.000e+10 0
1.000e-03 1.000e-03 3.838e-01 2.773e-01 1.137e-02 3.031e-02 8.458e-02 1.000e+10 0
4.591e-01 9.840e-01 1.000e-03 6.593e-01 1.000e-03 1.000e-01 1.000e-03 1.000e+10 0
5.228e-01 7.130e-01 9.301e-02 5.235e-01 3.745e-02 1.000e-03 1.386e-02 1.000e+10 0
3.050e-01 4.904e-01 9.101e-01 7.859e-01 1.000e-03 3.468e-02 5.802e-02 1.000e+10 0
7.951e-01 1.000e-03 8.408e-01 6.666e-01 6.960e-03 9.083e-02 3.974e-02 1.000e+10 0
3.360e-01 3.455e-01 7.512e-01 4.342e-01 3.112e-03 8.126e-03 3.951e-03 1.000e+10 0
3.381e-02 1.000e-03 2.393e-01 1.000e+00 3.643e-02 8.359e-02 5.733e-02 1.000e+10 0
1.040e-01 3.089e-01 4.469e-01 7.187e-01 8.379e-02 3.563e-02 4.637e-02 1.000e+10 0
1.000e+00 1.080e-01 8.743e-01 2.771e-01 9.489e-02 1.000e-01 1.000e-03 1.000e+10 0
6.724e-01 1.766e-01 1.000e-03 6.009e-02 8.163e-02 1.535e-02 1.000e-03 1.000e+10 0
6.726e-01 4.757e-01 5.809e-01 1.753e-01 8.044e-02 1.000e-03 9.250e-02 1.000e+10 0
6.020e-01 6.928e-01 5.944e-01 1.000e-03 5.002e-02 1.668e-02 2.172e-02 1.000e+10 0
3.925e-01 7.489e-01 3.891e-01 3.853e-01 1.797e-02 1.000e-01 7.386e-02 1.000e+10 0
1.000e-03 5.415e-01 9.081e-01 7.663e-01 1.641e-02 2.485e-02 6.964e-02 1.000e+10 0
7.587e-03 1.000e-03 7.512e-01 1.000e-03 1.597e-02 1.000e-03 5.521e-02 1.000e+10 0
8.430e-01 1.000e-03 9.588e-01 8.061e-01 1.000e-03 1.578e-02 2.834e-02 1.000e+10 0
7.718e-01 9.130e-01 4.534e-01 2.541e-01 1.167e-02 1.000e-03 3.219e-02 1.000e+10 0
1.000e-03 1.000e-03 4.422e-01 1.000e-03 6.345e-02 5.824e-02 4.454e-02 1.000e+10 0
1.000e+00 7.479e-01 1.000e+00 6.547e-02 1.000e-01 3.143e-02 3.279e-02 1.000e+10 0
9.951e-01 2.003e-01 4.255e-01 8.944e-01 1.000e-03 9.569e-02 1.000e-03 1.000e+10 0
1.000e-03 4.841e-01 3.306e-01 9.421e-01 1.716e-02 1.720e-02 3.645e-03 1.000e+10 0
6.083e-01 5.695e-01 1.103e-02 6.695e-01 1.000e-03 1.000e-03 4.174e-02 1.000e+10 0
8.688e-01 4.672e-01 3.263e-01 4.119e-01 1.000e-01 5.079e-02 5.188e-02 1.000e+10 0
4.326e-01 6.664e-01 1.000e+00 7.763e-01 8.297e-02 8.074e-02 1.000e-03 1.000e+10 0
3.820e-01 3.643e-01 7.004e-01 1.340e-01 3.426e-02 1.063e-02 1.000e-03 1.000e+10 0
7.899e-01 4.866e-01 8.682e-01 9.803e-01 8.820e-02 1.000e-03 2.238e-02 1.000e+10 0
1.000e-03 8.714e-01 4.594e-02 7.018e-01 6.814e-02 1.864e-02 7.757e-02 1.000e+10 0
1.000e+00 9.857e-01 7.331e-01 1.000e-03 1.000e-01 6.419e-02 7.131e-02 1.000e+10 0
8.015e-01 9.026e-01 4.735e-01 1.000e-03 2.213e-02 7.766e-02 5.066e-02 1.000e+10 0
6.320e-01 3.963e-02 3.274e-01 4.085e-01 7.469e-02 2.022e-02 8.421e-02 1.000e+10 0
2.719e-01 6.771e-02 1.000e-03 1.621e-01 2.270e-02 2.245e-02 2.299e-02 1.000e+10 0
1.000e-03 1.000e-03 5.031e-01 4.221e-01 5.739e-02 1.000e-01 1.000e-01 1.000e+10 0
4.187e-01 1.000e+00 3.736e-01 1.000e+00 7.341e-02 4.383e-02 4.746e-02 1.000e+10 0
9.620e-01 3.516e-02 7.332e-01 3.893e-01 1.497e-02 4.977e-02 9.168e-02 1.000e+10 0
4.919e-01 6.854e-01 7.875e-01 3.699e-01 1.000e-01 6.324e-02 1.000e-01 1.000e+10 0
5.135e-01 3.420e-02 8.084e-01 1.000e-03 1.000e-01 6.265e-02 1.000e-03 1.000e+10 0
8.599e-01 5.541e-01 9.438e-01 4.275e-01 1.001e-02 5.000e-02 2.011e-02 1.000e+10 0
1.000e-03 6.730e-01 7.862e-01 9.978e-01 7.211e-02 4.323e-02 1.101e-02 1.000e+10 0
7.698e-01 1.181e-01 4.222e-01 1.000e+00 5.573e-02 5.178e-02 3.949e-02 1.000e+10 0
1.000e+00 7.241e-01 9.988e-01 8.925e-01 1.000e-01 3.574e-02 1.680e-02 1.000e+10 0
6.807e-01 2.485e-01 6.242e-01 5.033e-01 1.000e-03 1.000e-01 8.095e-02 1.000e+10 0
4.411e-01 4.780e-01 1.000e-03 1.000e-03 1.000e-01 9.128e-02 3.866e-02 1.000e+10 0
5.999e-01 8.111e-01 6.254e-02 4.552e-01 9.332e-02 9.401e-02 9.910e-02 1.000e+10 0
1.000e+00 2.474e-01 3.343e-01 8.151e-01 7.489e-02 4.240e-02 2.487e-02 1.000e+10 0
8.235e-01 5.226e-01 9.361e-02 3.978e-01 4.895e-02 5.894e-02 4.978e-02 1.000e+10 0
5.460e-01 1.478e-01 7.221e-01 4.777e-02 9.587e-02 4.026e-02 7.330e-02 1.000e+10 0
8.724e-01 3.640e-01 3.609e-01 1.000e-03 2.901e-03 3.026e-02 1.000e-03 1.000e+10 0
7.810e-01 3.257e-01 1.000e-03 6.219e-01 1.296e-02 2.988e-02 1.000e-03 1.000e+10 0
7.668e-01 4.652e-02 6.902e-01 4.402e-01 3.841e-02 5.325e-02 3.061e-02 1.000e+10 0
2.168e-01 3.802e-01 9.049e-01 1.000e+00 1.888e-02 8.561e-02 5.827e-02 1.000e+10 0
2.720e-02 4.848e-01 2.715e-01 1.000e-03 6.675e-02 4.731e-02 1.000e-01 1.000e+10 0
1.758e-01 1.000e-03 8.480e-01 7.606e-01 4.769e-02 1.439e-02 7.507e-03 1.000e+10 0
5.977e-01 6.177e-01 4.918e-01 1.000e-03 1.000e-03 4.366e-02 9.510e-02 1.000e+10 0
6.475e-01 8.716e-01 6.148e-01 9.683e-01 2.401e-02 8.499e-02 1.000e-03 1.000e+10 0
1.000e-03 7.681e-01 7.516e-01 1.899e-01 7.964e-02 1.830e-03 5.002e-02 1.000e+10 0
9.289e-02 1.000e-03 2.811e-01 4.045e-01 1.484e-02 4.241e-02 4.101e-02 1.000e+10 0
5.694e-01 7.481e-01 8.095e-01 9.591e-02 4.499e-02 1.805e-02 6.702e-02 1.000e+10 0
3.667e-01 1.000e+00 4.625e-01 5.776e-01 6.053e-02 7.191e-02 1.000e-03 1.000e+10 0
4.494e-01 7.466e-01 6.799e-01 1.000e-03 6.297e-02 1.000e-01 4.867e-02 1.000e+10 0
5.803e-01 1.000e+00 1.000e+00 4.074e-01 7.780e-03 6.582e-02 9.705e-02 1.000e+10 0
9.841e-01 1.477e-01 6.570e-01 7.446e-01 1.000e-01 9.867e-03 1.000e-03 1.000e+10 0
1.000e+00 7.413e-01 5.089e-01 2.813e-01 6.865e-02 3.159e-02 5.725e-02 1.000e+10 0
1.000e+00 4.512e-01 9.023e-01 9.513e-01 3.123e-02 1.000e-03 4.233e-02 1.000e+10 0
1.000e+00 1.000e-03 3.248e-01 8.715e-01 1.000e-03 2.971e-02 1.000e-01 1.000e+10 0
3.566e-01 6.150e-01 9.519e-01 8.080e-01 1.524e-02 2.108e-02 1.000e-03 1.000e+10 0
7.631e-01 4.763e-01 6.390e-01 2.691e-01 7.881e-02 1.000e-01 8.924e-02 1.000e+10 0
1.000e+00 5.401e-01 1.663e-01 1.000e-03 6.345e-02 2.569e-02 4.899e-02 1.000e+10 0
1.000e-03 2.865e-01 1.000e+00 2.923e-01 1.000e-01 1.000e-03 1.000e-01 1.000e+10 0
4.466e-01 1.000e-03 1.000e+00 4.388e-01 3.501e-02 3.381e-02 8.252e-02 1.000e+10 0
5.977e-01 8.613e-01 4.447e-01 1.000e-03 9.159e-02 4.907e-02 7.271e-02 1.000e+10 0
5.274e-01 2.879e-01 6.237e-01 9.844e-01 1.000e-03 1.908e-02 6.431e-02 1.000e+10 0
1.185e-01 4.750e-01 1.000e-03 5.829e-01 8.469e-02 1.414e-02 3.243e-02 1.000e+10 0
7.252e-01 6.828e-01 1.000e+00 8.324e-01 2.796e-02 3.837e-02 5.236e-02 1.000e+10 0
3.058e-01 8.106e-01 9.998e-01 1.000e+00 3.529e-02 5.233e-02 1.000e-01 1.000e+10 0
6.158e-02 4.529e-01 8.936e-01 1.780e-01 2.569e-02 5.360e-03 9.953e-02 1.000e+10 0
1.025e-01 1.528e-01 4.860e-02 2.333e-01 4.495e-02 3.968e-02 8.689e-02 1.000e+10 0
9.645e-02 4.616e-01 4.850e-01 8.607e-01 5.279e-03 2.135e-02 8.080e-02 1.000e+10 0
1.000e-03 6.137e-01 4.511e-01 6.184e-02 7.405e-02 4.835e-02 4.945e-02 1.000e+10 0
1.000e-03 7.611e-01 5.017e-01 6.587e-02 5.853e-02 5.473e-02 7.500e-02 1.000e+10 0
7.284e-01 1.000e+00 1.036e-03 5.174e-01 1.000e-01 1.490e-02 1.727e-02 1.000e+10 0
2.870e-01 1.000e+00 7.974e-01 6.905e-01 1.000e-01 3.320e-02 1.896e-02 1.000e+10 0
5.794e-01 1.000e-03 4.266e-01 8.828e-01 4.876e-02 4.541e-02 1.000e-01 1.000e+10 0
8.864e-01 4.370e-01 5.786e-01 7.477e-01 1.230e-02 1.000e-03 4.257e-02 1.000e+10 0
3.639e-01 1.682e-02 8.599e-01 1.160e-02 1.000e-03 7.426e-02 9.793e-02 1.000e+10 0
3.421e-01 9.293e-01 6.723e-01 8.147e-01 8.289e-02 8.012e-02 1.963e-02 1.000e+10 0
1.000e+00 1.000e+00 4.738e-01 7.317e-01 1.222e-02 5.613e-02 6.074e-02 1.000e+10 0
